Source,Target,Weight,Type
27,1,0.016129032,undirected
27,2,0.032258065,undirected
27,3,0.048387097,undirected
27,4,0.064516129,undirected
27,5,0.016129032,undirected
27,6,0.032258065,undirected
27,8,0.080645161,undirected
27,9,0.048387097,undirected
27,10,0.048387097,undirected
27,12,0.032258065,undirected
27,13,0.048387097,undirected
27,15,0.048387097,undirected
28,0,0.026315789,undirected
28,1,0.026315789,undirected
28,2,0.078947368,undirected
28,3,0.026315789,undirected
28,4,0.052631579,undirected
28,6,0.026315789,undirected
28,7,0.052631579,undirected
28,8,0.026315789,undirected
28,9,0.078947368,undirected
28,10,0.078947368,undirected
28,11,0.052631579,undirected
28,13,0.026315789,undirected
28,14,0.026315789,undirected
28,15,0.052631579,undirected
29,0,0.096774194,undirected
29,2,0.096774194,undirected
29,3,0.032258065,undirected
29,6,0.032258065,undirected
29,7,0.064516129,undirected
29,10,0.064516129,undirected
29,12,0.032258065,undirected
29,13,0.032258065,undirected
29,15,0.064516129,undirected
30,0,0.0080645161,undirected
30,1,0.040322581,undirected
30,2,0.040322581,undirected
30,3,0.048387097,undirected
30,4,0.016129032,undirected
30,5,0.040322581,undirected
30,6,0.016129032,undirected
30,7,0.040322581,undirected
30,8,0.064516129,undirected
30,9,0.040322581,undirected
30,10,0.024193548,undirected
30,11,0.016129032,undirected
30,12,0.016129032,undirected
30,13,0.032258065,undirected
30,14,0.032258065,undirected
30,15,0.0080645161,undirected
31,0,0.015151515,undirected
31,1,0.03030303,undirected
31,2,0.03030303,undirected
31,3,0.03030303,undirected
31,4,0.03030303,undirected
31,5,0.03030303,undirected
31,6,0.045454545,undirected
31,7,0.015151515,undirected
31,8,0.060606061,undirected
31,9,0.060606061,undirected
31,10,0.075757576,undirected
31,11,0.015151515,undirected
31,12,0.045454545,undirected
31,13,0.090909091,undirected
31,14,0.045454545,undirected
31,15,0.03030303,undirected
32,0,0.027777778,undirected
32,1,0.027777778,undirected
32,2,0.083333333,undirected
32,4,0.027777778,undirected
32,5,0.083333333,undirected
32,6,0.083333333,undirected
32,9,0.027777778,undirected
32,10,0.055555556,undirected
32,11,0.055555556,undirected
