word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15
ενθεν,0.0049751244,0,0,0,0,0,0,0.0049019608,0,0.0042918455,0,0,0.0050251256,0,0,0
πολλας,0.0049751244,0.004784689,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ιφθιμους,0,0,0,0,0,0.0046296296,0,0,0,0,0,0.0050761421,0,0,0,0
ψυχας,0,0.004784689,0,0,0.0047393365,0,0,0,0,0,0,0,0.0050251256,0,0,0
αϊδι,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047619048,0
προϊαψεν,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044642857
μεσον,0.0099502488,0,0.0046948357,0,0,0,0,0.0098039216,0,0,0,0,0.010050251,0,0,0
αυτου,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ελλειψιν,0,0,0,0,0,0,0,0,0.0052083333,0,0,0.0050761421,0,0,0,0
μεγα,0,0,0,0,0,0,0,0,0,0,0.0049751244,0,0,0.0047393365,0,0
ιψαο,0,0,0,0,0,0,0,0,0,0,0,0.0050761421,0,0,0,0
λαον,0.0049751244,0.004784689,0,0,0,0,0,0,0,0,0,0,0,0.0047393365,0,0
αχαιων,0,0,0,0,0,0,0,0.0098039216,0,0,0,0,0,0,0,0
εστι,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
θηριον,0,0,0,0,0,0,0,0,0.0052083333,0,0,0,0,0,0,0
διατρωγον,0,0.004784689,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ξυλα,0,0,0,0,0,0,0,0,0,0,0.0049751244,0,0,0,0,0
τουτου,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ιαπτω,0,0,0,0.0048543689,0,0,0,0,0,0,0,0,0,0,0,0
τω,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
αϊαπτους,0,0,0,0,0,0,0.0049261084,0,0,0,0,0,0,0,0,0
ην,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ααπτους,0,0,0,0,0,0,0,0,0,0,0,0.0050761421,0,0,0,0
δυναμενας,0,0,0,0,0,0.0092592593,0,0,0,0,0,0,0,0,0,0
διαφθαρηναι,0,0,0,0,0,0,0,0,0,0.0042918455,0,0,0,0,0,0
βλαβηναι,0,0,0,0,0,0,0.0049261084,0,0,0,0,0,0,0,0,0
επιτασιν,0,0,0,0,0,0.0046296296,0,0,0,0,0,0,0,0,0,0
αγαν,0,0,0,0.0048543689,0,0,0,0,0,0,0,0,0,0,0,0
βλαψαι,0,0,0,0,0,0,0,0,0,0,0,0.0050761421,0,0,0,0
διαφθειραι,0,0,0,0,0,0,0,0.0049019608,0,0,0,0,0,0,0,0
τελος,0.0049751244,0.004784689,0.0046948357,0.0048543689,0.0047393365,0,0.0049261084,0.0049019608,0,0.008583691,0.0099502488,0,0,0.009478673,0,0.0044642857
περιοδον,0,0,0,0.0048543689,0,0,0,0,0,0,0,0,0,0,0,0
αυτοτελη,0,0,0,0,0,0,0,0,0,0,0.0049751244,0,0,0,0,0
στιχος,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0095238095,0
εχει,0.0049751244,0,0.0046948357,0,0,0,0.0049261084,0,0,0.0042918455,0,0,0.0050251256,0.0047393365,0,0
πρεπον,0.0049751244,0.004784689,0,0,0,0,0,0,0,0,0,0,0,0.0047393365,0,0
της,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
εγκελευσεως,0,0,0,0,0,0,0,0,0,0,0,0,0.0050251256,0,0,0
ασυνδετου,0,0,0,0,0,0.0046296296,0,0,0,0,0,0,0,0,0,0
φαινεται,0,0,0,0,0,0,0,0,0.0052083333,0,0,0,0,0,0,0
ορθοτονητεον,0,0,0,0,0,0.0046296296,0,0,0,0,0.0049751244,0,0,0,0,0.0044642857
σευ,0,0,0,0,0,0,0,0,0.0052083333,0,0,0,0,0,0,0
αντιδιεσταλται,0,0.004784689,0,0,0,0,0,0,0,0,0,0,0,0,0,0
προς,0.019900498,0.009569378,0.018779343,0.014563107,0.009478673,0.0092592593,0.014778325,0.019607843,0.015625,0.017167382,0.029850746,0.0050761421,0.010050251,0.018957346,0.0047619048,0.0089285714
προκειται,0.0049751244,0,0,0,0,0,0,0,0,0,0,0,0,0.0047393365,0,0
ρηματος,0,0,0,0,0,0,0,0,0,0.0042918455,0,0,0,0,0,0.0044642857
αντωνυμια,0,0,0,0,0,0,0,0,0,0,0,0.0050761421,0.0050251256,0,0.0047619048,0
συσταλτεον,0,0.004784689,0,0,0,0.0046296296,0,0,0,0.0042918455,0,0,0,0,0,0
τελευταιαν,0.0049751244,0,0,0,0,0,0,0,0,0.0042918455,0,0,0,0,0,0
δυσκλεα,0,0,0,0,0,0,0,0,0,0.0042918455,0,0,0,0,0,0
αμφιρεφεα,0,0,0,0,0,0,0,0,0,0,0,0,0.0050251256,0,0,0
ακλεα,0,0.004784689,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044642857
ανδρων,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044642857
μεγαρῳ,0,0,0,0,0,0.0046296296,0,0,0,0,0,0,0,0,0,0
αναστρεπτεον,0,0,0,0.0048543689,0.0047393365,0,0.0049261084,0.0049019608,0,0,0,0,0.0050251256,0.0047393365,0,0
προθ,0,0,0,0.0048543689,0,0.0046296296,0,0,0,0,0,0,0.0050251256,0.0047393365,0,0
τυραννιων,0,0,0,0,0,0,0,0,0,0,0,0.0050761421,0,0,0,0
πτολεμαιος,0,0,0,0,0,0,0,0,0,0.008583691,0,0,0,0,0,0
οποτε,0,0,0.0046948357,0,0,0,0,0,0,0,0,0,0,0,0,0
γενικῃ,0,0,0,0.0048543689,0,0,0,0,0,0,0,0,0,0,0,0.0044642857
συνταττεται,0,0,0,0,0,0.0046296296,0,0,0,0,0,0,0,0,0,0
τηρει,0.0049751244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
τονον,0,0,0,0.0048543689,0.0047393365,0.0046296296,0,0.0049019608,0,0,0,0,0,0.0047393365,0,0
ενα,0,0,0,0,0,0,0,0,0,0.0042918455,0,0.0050761421,0,0.009478673,0,0
μηνα,0,0,0,0,0,0,0,0.0049019608,0,0,0,0,0,0,0,0
μενων,0,0,0,0,0,0,0,0.0049019608,0,0,0,0,0,0,0,0
ης,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
