word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24
ἐπιθετικως,0.00021537799,0,0.00042698548,0.00021505376,0.00021915407,0,0.00042526047,0.00021208908,0,0.00021838829,0.00021630976,0.00021973193,0,0,0.00021294719,0,0.00021217908,0.000213858,0.00021621622,0,0.00021645022,0.00043639537,0,0,0.00044033465
καλητορα,0,0,0,0,0,0,0.00021263024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ἐϋσσωτρου,0,0,0,0,0,0,0,0,0.00021710812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
χϊτωνα,0,0,0,0,0,0,0.00021263024,0,0,0,0,0,0,0,0,0.00021810251,0,0,0,0,0,0,0,0,0
ειτα,0.00043075598,0.00065019506,0.00021349274,0,0,0.00021213407,0,0.00042417815,0,0.00021838829,0,0.00065919578,0,0,0.00021294719,0,0,0.00085543199,0.00021621622,0,0.00064935065,0.00021819769,0.00021422451,0.00042634833,0
φαρος,0,0,0,0,0,0,0,0,0,0,0.00043261951,0,0.00021473051,0.00021729683,0,0,0,0,0.00043243243,0,0.00043290043,0,0,0,0
ὑεις,0,0,0,0,0,0,0,0,0.00021710812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
διχως,0.00043075598,0.00043346337,0.00042698548,0.00086021505,0.00021915407,0.00084853627,0,0.00042417815,0,0.00065516488,0.00064892927,0.00021973193,0.00085892205,0.00043459365,0.00063884157,0.00065430752,0.00063653724,0.000427716,0.00021621622,0.00043706294,0.00043290043,0,0.00021422451,0,0.00044033465
οὐν,0.0034460478,0.0049848288,0.0053373185,0.0038709677,0.0039447732,0.0033941451,0.0046778652,0.002757158,0.003690838,0.0028390478,0.0036772658,0.0028565151,0.0019325746,0.0052151239,0.0038330494,0.0037077426,0.002758328,0.002352438,0.0043243243,0.0039335664,0.0023809524,0.0045821514,0.0025706941,0.0049030058,0.0026420079
θεων,0.00086151195,0.0019505852,0.0012809564,0.00064516129,0.0019723866,0.0016970725,0.00085052094,0.00063626723,0.00065132436,0.0010919415,0.00021630976,0.0013183916,0.0019325746,0.00086918731,0,0.00065430752,0.00063653724,0.001497006,0.00086486486,0.0015297203,0.00086580087,0.00043639537,0.0014995716,0.00021317416,0.0011008366
κηδεα,0,0,0,0,0,0,0.00021263024,0.00021208908,0,0,0,0.00021973193,0,0,0,0,0,0,0,0,0,0,0,0,0.00022016733
πεσσει,0,0,0,0,0,0,0,0,0,0.00021838829,0,0,0,0,0,0,0.00021217908,0,0,0,0,0,0,0,0
ἀναπαυσωμεθα,0,0,0,0,0,0,0,0,0,0,0,0.00021973193,0,0,0,0,0.00021217908,0,0,0,0,0,0,0,0
ἀπρεπες,0,0,0.00021349274,0.00021505376,0,0.00021213407,0.00063789071,0,0,0,0,0,0,0,0,0,0.00042435816,0,0.00021621622,0,0,0.00021819769,0.00021422451,0.00021317416,0
λεγειν,0.00086151195,0.00021673169,0.00042698548,0.0012903226,0.0010957703,0.00042426814,0.00085052094,0.00084835631,0.0013026487,0.00065516488,0.00086523902,0.0015381235,0.0010736526,0.00086918731,0.00021294719,0.001308615,0.0010608954,0.00085543199,0.00043243243,0.00021853147,0.0010822511,0.0015273838,0.00085689803,0.0017053933,0.0011008366
ταρπωμεθα,0.00021537799,0,0,0,0,0,0,0,0.00021710812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021317416,0
στορεσαν,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021729683,0,0,0,0,0,0,0,0,0,0,0
