word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12
ρηματα,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0
αριστονικος,0,0,0.025641026,0,0,0,0,0,0,0,0,0,0
γραφης,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0
ταυτης,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0
φησι,0,0,0,0,0,0,0,0,0,0,0,0,0
διπλην,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0
βαλλων,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0
στιχῳ,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0
μεντοι,0,0,0,0,0,0,0,0,0,0,0,0,0
τετραλογια,0,0,0.025641026,0,0,0,0,0,0,0,0,0,0
νεμεσιωνος,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0
ευρον,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0
παρακειμενων,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0
οβελων,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0
αιτιαν,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0
ευρειν,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0
αρισταρχειων,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0
υπομνηματων,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0
αμμωνιος,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0
αρισταρχειος,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0
πρωτον,0,0,0.051282051,0,0,0,0,0,0,0,0,0,0
στιγμαις,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0
αρισταρχ,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0
παρασημειωσασθαι,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0
αυτους,0,0,0,0,0,0,0,0,0,0,0,0,0
ειτα,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0
