word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13
πρεποντος,0,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0
αφαιρειται,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0
πρεσβυτων,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0
ουδεν,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ετερον,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0
αρμοζει,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0
μαλλιστα,0,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0
καλλος,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0
γυναικος,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0
θαυμασαντες,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0
ιδιων,0,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0
καταφρονουσι,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0
κινδυνων,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0
πρεπον,0,0,0,0,0,0.068965517,0,0,0,0,0,0,0,0
αλλον,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0
ακουειν,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0
αμφοτερα,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0
εφυλαξεν,0,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0
εγκωμιον,0,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0
πρεσβυταις,0,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0
προσθεις,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0
ασεβει,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0
πανδαρος,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0
ει,0,0,0,0,0,0,0,0,0,0,0,0,0,0
αθηνα,0,0,0.043478261,0,0,0,0,0,0,0,0,0,0,0
συνεβουλευσεν,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0
ζευς,0,0,0.065217391,0,0,0,0,0,0,0,0,0,0,0
απεσταλκεν,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0
ρητεον,0,0,0.065217391,0,0,0,0,0,0,0,0,0.035714286,0,0.023255814
ειδως,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0
ορκους,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0
κακως,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0
γεγενημενους,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0
ουδε,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ετερως,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0
τρωες,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0
αλλοτριοις,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0
ωμοσαν,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0
εσπουδασεν,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0
λυθηναι,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0
αδικους,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0
συνθηκασ,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0
αθηναν,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0
νυν,0,0,0,0,0,0,0,0,0,0,0,0,0,0
υποληπτεον,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0
λογισμον,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0
πανδαρου,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0
εαυτον,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0
διελογιζετο,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0
απιστοι,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0
λυκαονες,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0
αριστοτε,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0
μαρτυρει,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0
αλλοι,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0
αυτοις,0,0,0.043478261,0,0,0,0,0,0,0,0,0,0,0
ομηρου,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0
λυοντες,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0
προειρηκεναι,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0
ποιητην,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0
πειραντ,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0
αι,0,0,0,0,0,0,0,0,0,0,0,0,0,0
εθελῃσιν,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0
ου,0,0,0,0,0,0,0,0,0,0,0,0,0,0
πειθειν,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0
ιδιως,0,0,0,0,0,0,0,0.021276596,0,0,0,0,0,0
ειρηκεν,0,0,0,0,0,0,0,0.021276596,0,0,0,0,0,0
ουτε,0,0,0,0,0,0,0,0,0,0,0,0,0,0
μελαντερον,0,0,0,0,0,0,0,0.063829787,0,0,0,0,0,0
πισσης,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0
μελανος,0,0,0,0,0,0,0,0.042553191,0,0,0,0,0,0
πισσα,0,0,0,0,0,0,0,0.042553191,0,0,0,0,0,0
κεχρηται,0,0,0,0,0,0,0,0.021276596,0,0,0,0,0,0
συγκριτικῳ,0,0,0,0,0,0,0,0.021276596,0,0,0,0,0,0
απλου,0,0,0,0,0,0,0,0.021276596,0,0,0,0,0,0
ϊοντι,0,0,0,0,0,0,0,0.021276596,0,0,0,0,0,0
μετα,0,0,0,0,0,0,0,0,0,0,0,0,0,0
επειτα,0,0,0,0,0,0,0,0.021276596,0,0,0,0,0,0
