Source,Target,Weight,Type
urn:cts:greekLit:tlg5026.msA.hmt:1.35,13,0.066666667,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.35,15,0.033333333,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.36,0,0.037037037,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.36,3,0.037037037,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.36,5,0.037037037,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.36,6,0.037037037,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.36,7,0.037037037,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.36,8,0.074074074,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.36,10,0.11111111,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.36,11,0.037037037,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.36,12,0.037037037,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.36,13,0.037037037,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.37,0,0.071428571,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.37,1,0.031746032,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.37,2,0.023809524,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.37,3,0.023809524,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.37,4,0.03968254,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.37,5,0.055555556,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.37,6,0.015873016,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.37,7,0.055555556,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.37,8,0.03968254,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.37,9,0.063492063,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.37,10,0.031746032,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.37,11,0.03968254,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.37,12,0.031746032,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.37,13,0.031746032,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.37,14,0.031746032,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.37,15,0.055555556,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.38,0,0.041666667,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.38,1,0.027777778,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.38,2,0.013888889,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.38,3,0.020833333,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.38,4,0.034722222,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.38,5,0.034722222,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.38,6,0.055555556,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.38,7,0.034722222,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.38,8,0.027777778,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.38,9,0.041666667,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.38,10,0.020833333,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.38,11,0.048611111,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.38,12,0.020833333,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.38,13,0.027777778,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.38,14,0.020833333,undirected
