word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15
παιδας,0.00016691704,0.00016977929,0,0.00033636058,0.00050581689,0.00016482611,0.00049269174,0,0,0,0,0,0.00033881077,0.0001676727,0,0.00084090145
ϊονα,0,0,0,0,0.00016860563,0,0,0,0,0,0,0,0,0,0,0
αχαιον,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016680567,0
ϊων,0,0.00016977929,0,0,0,0.00016482611,0,0,0,0,0,0,0.00016940539,0,0.00016680567,0
ῳκησεν,0,0,0,0,0.00016860563,0,0,0,0,0,0,0,0,0,0,0
αθηνας,0.00050075113,0.00033955857,0.00050881954,0.00016818029,0.00033721126,0.00032965222,0.00032846116,0.00033528919,0.00034387895,0.00066934404,0,0.00083528233,0.00016940539,0.00067069081,0,0.00016818029
αχαιος,0,0.00016977929,0,0,0,0,0,0,0,0,0,0,0,0,0,0
φονον,0.00016691704,0.00016977929,0.00016960651,0.00016818029,0,0,0.00016423058,0.00016764459,0,0,0,0.00016705647,0.00016940539,0,0.00016680567,0
εμφυλιον,0,0,0,0,0,0,0,0.00016764459,0,0.00016733601,0,0,0,0,0,0
δρασας,0,0,0,0,0,0,0.00016423058,0,0.00017193948,0,0.00016820858,0,0,0,0,0
παρεγενετο,0,0.00016977929,0.00016960651,0,0,0,0,0.00016764459,0.00017193948,0.00016733601,0.00016820858,0,0.00016940539,0,0,0.00016818029
θεσσαλιαν,0,0,0,0.00016818029,0,0,0.00016423058,0,0.00017193948,0,0.00050462574,0.00016705647,0,0,0,0
κυριευσας,0,0,0,0,0.00016860563,0,0,0,0,0,0,0,0,0,0,0
χωρας,0,0,0,0.00016818029,0.00033721126,0,0,0,0.00017193948,0,0.00016820858,0.00016705647,0,0,0,0.00016818029
υποτεταγμενους,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016680567,0
εαυτου,0.00083458521,0.00016977929,0.00016960651,0.00067272116,0.00016860563,0.00082413054,0.00032846116,0.00050293378,0.00034387895,0.00033467202,0.00067283431,0.0005011694,0.00067762155,0.00050301811,0.00066722269,0
προσηγορευσεν,0,0,0.00016960651,0,0,0,0,0,0,0,0.00016820858,0.00033411293,0,0,0.00016680567,0.00016818029
αχαιους,0,0.00016977929,0.00016960651,0.00033636058,0.00033721126,0.00016482611,0.00032846116,0.00016764459,0.00017193948,0.00033467202,0.00016820858,0.00033411293,0,0,0.00050041701,0.00016818029
ελληνες,0,0.00033955857,0.00050881954,0.00033636058,0.00033721126,0,0.00016423058,0,0,0.00033467202,0,0.00033411293,0.00067762155,0,0,0.00016818029
κοινως,0,0.00016977929,0,0.00016818029,0,0,0.00016423058,0.00033528919,0.00017193948,0.00016733601,0.00016820858,0.00033411293,0.00016940539,0.00033534541,0.00016680567,0
παντες,0.00016691704,0.00050933786,0.00050881954,0.00050454087,0,0.00082413054,0.00098538348,0.00083822297,0.00068775791,0.00083668005,0.00033641716,0.00083528233,0.00084702694,0.0011737089,0.00033361134,0.00033636058
ελλαδος,0.00016691704,0,0.00016960651,0,0.00016860563,0.00016482611,0,0.00016764459,0,0.00016733601,0.00016820858,0.00016705647,0.00033881077,0,0,0
εκληθησαν,0.00016691704,0,0,0.00016818029,0.00016860563,0,0,0,0,0.00016733601,0,0,0.00016940539,0,0,0.00033636058
ελληνος,0.00016691704,0,0,0,0,0,0,0,0,0.00016733601,0,0,0,0,0,0.00016818029
πρωτοι,0.00016691704,0.00016977929,0,0.00016818029,0,0,0,0.00016764459,0.00034387895,0,0.00033641716,0.00033411293,0,0,0.00016680567,0
ελεγοντο,0.00016691704,0,0,0,0,0,0,0,0,0,0.00033641716,0,0,0,0.00016680567,0
θεσσαλια,0,0.00016977929,0,0,0,0.00016482611,0,0,0,0.00016733601,0,0,0,0,0,0
ανοι,0,0.00033955857,0,0.00016818029,0,0,0,0,0,0.00016733601,0,0,0,0,0,0
μονοι,0.00016691704,0,0.00016960651,0.00016818029,0,0.00016482611,0.00016423058,0.00016764459,0,0.00016733601,0.00016820858,0,0,0.0001676727,0.00016680567,0
ελλαδι,0,0.00016977929,0.00016960651,0,0,0,0,0,0.00017193948,0.00016733601,0,0,0,0,0,0
ετειτα,0,0,0,0,0,0,0,0,0,0,0,0,0.00016940539,0,0,0
μεγαλα,0.00033383408,0,0,0,0,0.00016482611,0,0,0,0,0,0.00016705647,0.00016940539,0,0.00016680567,0.00016818029
δυναστευθεντος,0,0,0,0,0,0.00016482611,0,0,0,0,0,0,0,0,0,0
παιδων,0.00033383408,0.00016977929,0,0.00033636058,0.00016860563,0.00032965222,0,0.00016764459,0,0,0,0.00066822586,0.00050821616,0.00033534541,0,0.00016818029
ηρωων,0,0,0,0,0.00067442253,0.00016482611,0,0,0,0,0.00016820858,0,0,0.0001676727,0.00016680567,0
ζηνοδοτος,0.0031714238,0.00237691,0.0032225237,0.0042045072,0.0025290845,0.0039558266,0.0024634587,0.0021793797,0.0024071527,0.0031793842,0.004373423,0.002171734,0.0037269185,0.0031857814,0.0023352794,0.0031954255
αθετει,0.00016691704,0.00016977929,0.00033921303,0.00016818029,0,0.00032965222,0.00016423058,0,0,0.00033467202,0,0.00016705647,0,0.0001676727,0,0
